,Parameters,Mean Accuracy,Std Dev Accuracy
110,"{'C': 11.28837891684689, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.927167739532545,0.001369163464712128
111,"{'C': 11.28837891684689, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9292798110979931,0.001995372430108895
112,"{'C': 11.28837891684689, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9301984643697592,0.0015869893879874415
113,"{'C': 11.28837891684689, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9313924731931162,0.0022944972508530917
114,"{'C': 11.28837891684689, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9313924310124252,0.003735676870117249
115,"{'C': 11.28837891684689, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9314842583769798,0.002965744697782692
116,"{'C': 11.28837891684689, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9321271342902445,0.002775592516697835
117,"{'C': 11.28837891684689, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9306576011925325,0.001790134505037161
118,"{'C': 11.28837891684689, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9245957718918841,0.00216539105255982
119,"{'C': 11.28837891684689, 'gamma': 1.0, 'kernel': 'rbf'}",0.9145853659153863,0.004065532370060862
120,"{'C': 18.329807108324356, 'gamma': 1e-06, 'kernel': 'rbf'}",0.2823293696137894,0.0036010745031815625
121,"{'C': 18.329807108324356, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.5180006521134846,0.006124898302184176
122,"{'C': 18.329807108324356, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.8080473166120639,0.008895505961633372
123,"{'C': 18.329807108324356, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.892819201325486,0.006952752971137092
124,"{'C': 18.329807108324356, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.9083403458732311,0.00455244021107064
125,"{'C': 18.329807108324356, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.9143099260024137,0.0029246545778877104
126,"{'C': 18.329807108324356, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.9182592619307031,0.0031254709394150267
127,"{'C': 18.329807108324356, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9207391491226626,0.0033778412729508107
128,"{'C': 18.329807108324356, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9245045350570053,0.0027356203481430368
129,"{'C': 18.329807108324356, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9269840426227448,0.0017580784268898303
130,"{'C': 18.329807108324356, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9279023162682911,0.0010443028566582842
131,"{'C': 18.329807108324356, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.929371849366003,0.001241926801191473
132,"{'C': 18.329807108324356, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9304737777406589,0.0025119700073829294
133,"{'C': 18.329807108324356, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.930841340283024,0.0035509401845783945
